Publisher Group,Global_sum,Global_avg
Nintendo,1447.81,4.907830508474576
Microsoft Game Studios,169.73,3.611276595744681
Take-Two Interactive,208.42,2.7789333333333333
Activision,369.98,2.642714285714286
Sony Computer Entertainment,377.61,2.420576923076923
Ubisoft,196.32,2.1109677419354838
Konami Digital Entertainment,107.67,2.031509433962264
Square Enix,63.41,1.9815625
Electronic Arts,624.18,1.8466863905325441
Capcom,114.33,1.8147619047619048
Others,680.07,1.803899204244032
Namco Bandai Games,71.69,1.79225
THQ,142.98,1.6065168539325843
Sega,121.8,1.5225
